timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:51:31.806, [Not Supported], 41 %, 26 %
2018/11/16 15:51:32.807, [Not Supported], 37 %, 23 %
2018/11/16 15:51:33.807, [Not Supported], 44 %, 28 %
2018/11/16 15:51:34.808, [Not Supported], 41 %, 25 %
2018/11/16 15:51:35.809, [Not Supported], 44 %, 28 %
2018/11/16 15:51:36.810, [Not Supported], 38 %, 25 %
2018/11/16 15:51:37.811, [Not Supported], 40 %, 25 %
2018/11/16 15:51:38.811, [Not Supported], 37 %, 23 %
2018/11/16 15:51:39.812, [Not Supported], 34 %, 22 %
2018/11/16 15:51:40.813, [Not Supported], 40 %, 26 %
2018/11/16 15:51:41.814, [Not Supported], 41 %, 26 %
2018/11/16 15:51:42.814, [Not Supported], 41 %, 26 %
2018/11/16 15:51:43.815, [Not Supported], 38 %, 24 %
2018/11/16 15:51:44.816, [Not Supported], 39 %, 24 %
2018/11/16 15:51:45.817, [Not Supported], 41 %, 26 %
2018/11/16 15:51:46.818, [Not Supported], 43 %, 28 %
2018/11/16 15:51:47.819, [Not Supported], 44 %, 28 %
2018/11/16 15:51:48.819, [Not Supported], 46 %, 29 %
2018/11/16 15:51:49.820, [Not Supported], 38 %, 25 %
2018/11/16 15:51:50.821, [Not Supported], 41 %, 26 %
2018/11/16 15:51:51.822, [Not Supported], 39 %, 25 %
2018/11/16 15:51:52.823, [Not Supported], 42 %, 26 %
2018/11/16 15:51:53.823, [Not Supported], 41 %, 26 %
2018/11/16 15:51:54.824, [Not Supported], 44 %, 28 %
2018/11/16 15:51:55.825, [Not Supported], 42 %, 27 %
2018/11/16 15:51:56.826, [Not Supported], 34 %, 21 %
2018/11/16 15:51:57.828, [Not Supported], 44 %, 28 %
2018/11/16 15:51:58.829, [Not Supported], 40 %, 26 %
2018/11/16 15:51:59.829, [Not Supported], 41 %, 27 %
2018/11/16 15:52:00.830, [Not Supported], 45 %, 31 %
2018/11/16 15:52:01.831, [Not Supported], 41 %, 26 %
2018/11/16 15:52:02.832, [Not Supported], 42 %, 27 %
2018/11/16 15:52:03.833, [Not Supported], 41 %, 26 %
2018/11/16 15:52:04.834, [Not Supported], 41 %, 26 %
2018/11/16 15:52:05.834, [Not Supported], 39 %, 25 %
2018/11/16 15:52:06.835, [Not Supported], 56 %, 33 %
2018/11/16 15:52:07.835, [Not Supported], 42 %, 27 %
2018/11/16 15:52:08.836, [Not Supported], 44 %, 28 %
2018/11/16 15:52:09.837, [Not Supported], 50 %, 30 %
2018/11/16 15:52:10.838, [Not Supported], 40 %, 25 %
2018/11/16 15:52:11.839, [Not Supported], 41 %, 26 %
2018/11/16 15:52:12.840, [Not Supported], 45 %, 24 %
2018/11/16 15:52:13.841, [Not Supported], 36 %, 23 %
2018/11/16 15:52:14.841, [Not Supported], 42 %, 27 %
2018/11/16 15:52:15.842, [Not Supported], 55 %, 32 %
2018/11/16 15:52:16.843, [Not Supported], 39 %, 25 %
2018/11/16 15:52:17.844, [Not Supported], 45 %, 29 %
2018/11/16 15:52:18.846, [Not Supported], 45 %, 25 %
2018/11/16 15:52:19.847, [Not Supported], 45 %, 29 %
