timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:51:55.115, [Not Supported], 45 %, 29 %
2018/11/16 15:51:56.116, [Not Supported], 56 %, 32 %
2018/11/16 15:51:57.117, [Not Supported], 45 %, 29 %
2018/11/16 15:51:58.117, [Not Supported], 42 %, 27 %
2018/11/16 15:51:59.119, [Not Supported], 33 %, 21 %
2018/11/16 15:52:00.119, [Not Supported], 39 %, 25 %
2018/11/16 15:52:01.120, [Not Supported], 42 %, 27 %
2018/11/16 15:52:02.121, [Not Supported], 50 %, 31 %
2018/11/16 15:52:03.122, [Not Supported], 45 %, 29 %
2018/11/16 15:52:04.124, [Not Supported], 45 %, 29 %
2018/11/16 15:52:05.124, [Not Supported], 42 %, 26 %
2018/11/16 15:52:06.125, [Not Supported], 41 %, 26 %
2018/11/16 15:52:07.126, [Not Supported], 41 %, 26 %
2018/11/16 15:52:08.126, [Not Supported], 37 %, 23 %
2018/11/16 15:52:09.127, [Not Supported], 46 %, 29 %
2018/11/16 15:52:10.128, [Not Supported], 41 %, 26 %
2018/11/16 15:52:11.129, [Not Supported], 45 %, 29 %
2018/11/16 15:52:12.129, [Not Supported], 45 %, 28 %
2018/11/16 15:52:13.130, [Not Supported], 45 %, 29 %
2018/11/16 15:52:14.131, [Not Supported], 41 %, 26 %
2018/11/16 15:52:15.132, [Not Supported], 44 %, 29 %
2018/11/16 15:52:16.133, [Not Supported], 45 %, 29 %
2018/11/16 15:52:17.134, [Not Supported], 40 %, 26 %
2018/11/16 15:52:18.135, [Not Supported], 36 %, 23 %
2018/11/16 15:52:19.135, [Not Supported], 44 %, 28 %
2018/11/16 15:52:20.136, [Not Supported], 45 %, 29 %
2018/11/16 15:52:21.137, [Not Supported], 44 %, 28 %
2018/11/16 15:52:22.138, [Not Supported], 39 %, 26 %
2018/11/16 15:52:23.139, [Not Supported], 44 %, 28 %
2018/11/16 15:52:24.140, [Not Supported], 41 %, 26 %
2018/11/16 15:52:25.141, [Not Supported], 47 %, 28 %
2018/11/16 15:52:26.142, [Not Supported], 42 %, 26 %
2018/11/16 15:52:27.142, [Not Supported], 38 %, 24 %
2018/11/16 15:52:28.143, [Not Supported], 39 %, 26 %
2018/11/16 15:52:29.144, [Not Supported], 42 %, 27 %
2018/11/16 15:52:30.145, [Not Supported], 47 %, 30 %
2018/11/16 15:52:31.146, [Not Supported], 49 %, 29 %
2018/11/16 15:52:32.147, [Not Supported], 44 %, 28 %
2018/11/16 15:52:33.147, [Not Supported], 44 %, 28 %
2018/11/16 15:52:34.148, [Not Supported], 52 %, 29 %
2018/11/16 15:52:35.149, [Not Supported], 45 %, 28 %
2018/11/16 15:52:36.150, [Not Supported], 38 %, 24 %
2018/11/16 15:52:37.151, [Not Supported], 48 %, 27 %
2018/11/16 15:52:38.152, [Not Supported], 43 %, 27 %
2018/11/16 15:52:39.153, [Not Supported], 41 %, 26 %
2018/11/16 15:52:40.154, [Not Supported], 48 %, 29 %
2018/11/16 15:52:41.155, [Not Supported], 39 %, 26 %
2018/11/16 15:52:42.156, [Not Supported], 46 %, 29 %
2018/11/16 15:52:43.157, [Not Supported], 54 %, 32 %
2018/11/16 15:52:44.158, [Not Supported], 43 %, 28 %
2018/11/16 15:52:45.159, [Not Supported], 43 %, 27 %
2018/11/16 15:52:46.159, [Not Supported], 45 %, 27 %
2018/11/16 15:52:47.160, [Not Supported], 39 %, 25 %
2018/11/16 15:52:48.161, [Not Supported], 41 %, 26 %
2018/11/16 15:52:49.161, [Not Supported], 45 %, 29 %
2018/11/16 15:52:50.162, [Not Supported], 43 %, 27 %
2018/11/16 15:52:51.163, [Not Supported], 38 %, 24 %
2018/11/16 15:52:52.164, [Not Supported], 42 %, 26 %
2018/11/16 15:52:53.165, [Not Supported], 44 %, 28 %
2018/11/16 15:52:54.166, [Not Supported], 45 %, 28 %
2018/11/16 15:52:55.168, [Not Supported], 41 %, 26 %
2018/11/16 15:52:56.168, [Not Supported], 45 %, 28 %
2018/11/16 15:52:57.170, [Not Supported], 42 %, 26 %
2018/11/16 15:52:58.170, [Not Supported], 36 %, 23 %
2018/11/16 15:52:59.171, [Not Supported], 41 %, 26 %
2018/11/16 15:53:00.172, [Not Supported], 44 %, 27 %
2018/11/16 15:53:01.173, [Not Supported], 39 %, 24 %
2018/11/16 15:53:02.174, [Not Supported], 41 %, 26 %
2018/11/16 15:53:03.175, [Not Supported], 38 %, 24 %
2018/11/16 15:53:04.176, [Not Supported], 44 %, 28 %
2018/11/16 15:53:05.177, [Not Supported], 41 %, 26 %
2018/11/16 15:53:06.178, [Not Supported], 39 %, 25 %
2018/11/16 15:53:07.179, [Not Supported], 38 %, 24 %
2018/11/16 15:53:08.180, [Not Supported], 36 %, 22 %
2018/11/16 15:53:09.181, [Not Supported], 45 %, 26 %
2018/11/16 15:53:10.182, [Not Supported], 41 %, 25 %
2018/11/16 15:53:11.183, [Not Supported], 44 %, 28 %
2018/11/16 15:53:12.184, [Not Supported], 50 %, 29 %
2018/11/16 15:53:13.184, [Not Supported], 45 %, 28 %
2018/11/16 15:53:14.185, [Not Supported], 44 %, 27 %
2018/11/16 15:53:15.186, [Not Supported], 47 %, 31 %
2018/11/16 15:53:16.187, [Not Supported], 41 %, 26 %
2018/11/16 15:53:17.188, [Not Supported], 38 %, 24 %
2018/11/16 15:53:18.189, [Not Supported], 47 %, 30 %
2018/11/16 15:53:19.189, [Not Supported], 43 %, 26 %
2018/11/16 15:53:20.190, [Not Supported], 38 %, 23 %
2018/11/16 15:53:21.191, [Not Supported], 53 %, 30 %
2018/11/16 15:53:22.192, [Not Supported], 42 %, 26 %
2018/11/16 15:53:23.193, [Not Supported], 45 %, 28 %
2018/11/16 15:53:24.194, [Not Supported], 56 %, 34 %
2018/11/16 15:53:25.195, [Not Supported], 39 %, 24 %
2018/11/16 15:53:26.196, [Not Supported], 42 %, 27 %
2018/11/16 15:53:27.197, [Not Supported], 47 %, 29 %
2018/11/16 15:53:28.198, [Not Supported], 44 %, 26 %
2018/11/16 15:53:29.199, [Not Supported], 42 %, 26 %
2018/11/16 15:53:30.199, [Not Supported], 56 %, 34 %
2018/11/16 15:53:31.200, [Not Supported], 42 %, 26 %
2018/11/16 15:53:32.201, [Not Supported], 42 %, 26 %
2018/11/16 15:53:33.202, [Not Supported], 45 %, 27 %
2018/11/16 15:53:34.203, [Not Supported], 42 %, 26 %
2018/11/16 15:53:35.205, [Not Supported], 46 %, 29 %
2018/11/16 15:53:36.205, [Not Supported], 43 %, 26 %
2018/11/16 15:53:37.206, [Not Supported], 40 %, 24 %
2018/11/16 15:53:38.207, [Not Supported], 42 %, 26 %
2018/11/16 15:53:39.207, [Not Supported], 39 %, 24 %
2018/11/16 15:53:40.208, [Not Supported], 42 %, 26 %
2018/11/16 15:53:41.209, [Not Supported], 47 %, 29 %
2018/11/16 15:53:42.210, [Not Supported], 47 %, 28 %
2018/11/16 15:53:43.210, [Not Supported], 40 %, 25 %
2018/11/16 15:53:44.211, [Not Supported], 44 %, 28 %
2018/11/16 15:53:45.213, [Not Supported], 40 %, 26 %
2018/11/16 15:53:46.214, [Not Supported], 44 %, 27 %
2018/11/16 15:53:47.215, [Not Supported], 42 %, 26 %
2018/11/16 15:53:48.216, [Not Supported], 43 %, 27 %
2018/11/16 15:53:49.217, [Not Supported], 45 %, 28 %
2018/11/16 15:53:50.218, [Not Supported], 39 %, 24 %
2018/11/16 15:53:51.219, [Not Supported], 46 %, 29 %
2018/11/16 15:53:52.220, [Not Supported], 40 %, 25 %
2018/11/16 15:53:53.221, [Not Supported], 42 %, 27 %
2018/11/16 15:53:54.222, [Not Supported], 41 %, 26 %
2018/11/16 15:53:55.223, [Not Supported], 39 %, 24 %
2018/11/16 15:53:56.224, [Not Supported], 39 %, 25 %
2018/11/16 15:53:57.225, [Not Supported], 42 %, 27 %
2018/11/16 15:53:58.226, [Not Supported], 45 %, 29 %
2018/11/16 15:53:59.226, [Not Supported], 43 %, 27 %
2018/11/16 15:54:00.227, [Not Supported], 54 %, 35 %
2018/11/16 15:54:01.228, [Not Supported], 43 %, 27 %
2018/11/16 15:54:02.228, [Not Supported], 52 %, 30 %
2018/11/16 15:54:03.229, [Not Supported], 40 %, 24 %
2018/11/16 15:54:04.231, [Not Supported], 41 %, 26 %
2018/11/16 15:54:05.232, [Not Supported], 57 %, 34 %
2018/11/16 15:54:06.232, [Not Supported], 45 %, 27 %
2018/11/16 15:54:07.233, [Not Supported], 40 %, 26 %
2018/11/16 15:54:08.234, [Not Supported], 49 %, 29 %
2018/11/16 15:54:09.235, [Not Supported], 39 %, 24 %
2018/11/16 15:54:10.236, [Not Supported], 46 %, 30 %
2018/11/16 15:54:11.237, [Not Supported], 53 %, 32 %
2018/11/16 15:54:12.238, [Not Supported], 39 %, 24 %
2018/11/16 15:54:13.239, [Not Supported], 41 %, 26 %
2018/11/16 15:54:14.240, [Not Supported], 48 %, 30 %
2018/11/16 15:54:15.241, [Not Supported], 44 %, 28 %
2018/11/16 15:54:16.241, [Not Supported], 40 %, 26 %
2018/11/16 15:54:17.242, [Not Supported], 46 %, 30 %
2018/11/16 15:54:18.243, [Not Supported], 39 %, 25 %
2018/11/16 15:54:19.244, [Not Supported], 39 %, 24 %
2018/11/16 15:54:20.245, [Not Supported], 52 %, 29 %
2018/11/16 15:54:21.246, [Not Supported], 44 %, 27 %
2018/11/16 15:54:22.247, [Not Supported], 45 %, 28 %
2018/11/16 15:54:23.248, [Not Supported], 44 %, 26 %
2018/11/16 15:54:24.248, [Not Supported], 45 %, 28 %
2018/11/16 15:54:25.249, [Not Supported], 42 %, 26 %
2018/11/16 15:54:26.250, [Not Supported], 47 %, 29 %
2018/11/16 15:54:27.251, [Not Supported], 40 %, 25 %
2018/11/16 15:54:28.252, [Not Supported], 42 %, 26 %
2018/11/16 15:54:29.253, [Not Supported], 38 %, 24 %
2018/11/16 15:54:30.253, [Not Supported], 42 %, 26 %
2018/11/16 15:54:31.254, [Not Supported], 41 %, 25 %
2018/11/16 15:54:32.255, [Not Supported], 42 %, 26 %
2018/11/16 15:54:33.256, [Not Supported], 45 %, 29 %
2018/11/16 15:54:34.258, [Not Supported], 44 %, 27 %
2018/11/16 15:54:35.259, [Not Supported], 42 %, 26 %
2018/11/16 15:54:36.260, [Not Supported], 40 %, 25 %
2018/11/16 15:54:37.261, [Not Supported], 44 %, 27 %
2018/11/16 15:54:38.261, [Not Supported], 33 %, 20 %
2018/11/16 15:54:39.263, [Not Supported], 40 %, 26 %
2018/11/16 15:54:40.264, [Not Supported], 42 %, 26 %
2018/11/16 15:54:41.264, [Not Supported], 45 %, 28 %
2018/11/16 15:54:42.265, [Not Supported], 40 %, 25 %
2018/11/16 15:54:43.266, [Not Supported], 52 %, 29 %
2018/11/16 15:54:44.267, [Not Supported], 42 %, 26 %
2018/11/16 15:54:45.268, [Not Supported], 45 %, 28 %
2018/11/16 15:54:46.268, [Not Supported], 45 %, 27 %
2018/11/16 15:54:47.269, [Not Supported], 46 %, 29 %
2018/11/16 15:54:48.270, [Not Supported], 42 %, 26 %
2018/11/16 15:54:49.271, [Not Supported], 55 %, 32 %
2018/11/16 15:54:50.272, [Not Supported], 42 %, 26 %
2018/11/16 15:54:51.273, [Not Supported], 45 %, 27 %
2018/11/16 15:54:52.273, [Not Supported], 50 %, 30 %
2018/11/16 15:54:53.274, [Not Supported], 39 %, 24 %
2018/11/16 15:54:54.276, [Not Supported], 44 %, 27 %
2018/11/16 15:54:55.276, [Not Supported], 52 %, 31 %
2018/11/16 15:54:56.277, [Not Supported], 44 %, 27 %
2018/11/16 15:54:57.278, [Not Supported], 38 %, 23 %
2018/11/16 15:54:58.279, [Not Supported], 55 %, 32 %
2018/11/16 15:54:59.280, [Not Supported], 42 %, 26 %
2018/11/16 15:55:00.281, [Not Supported], 49 %, 35 %
2018/11/16 15:55:01.282, [Not Supported], 53 %, 28 %
2018/11/16 15:55:02.283, [Not Supported], 39 %, 25 %
2018/11/16 15:55:03.284, [Not Supported], 43 %, 27 %
2018/11/16 15:55:04.285, [Not Supported], 45 %, 29 %
2018/11/16 15:55:05.286, [Not Supported], 39 %, 25 %
2018/11/16 15:55:06.287, [Not Supported], 43 %, 27 %
2018/11/16 15:55:07.287, [Not Supported], 37 %, 23 %
2018/11/16 15:55:08.288, [Not Supported], 42 %, 26 %
2018/11/16 15:55:09.289, [Not Supported], 39 %, 24 %
2018/11/16 15:55:10.290, [Not Supported], 45 %, 27 %
2018/11/16 15:55:11.291, [Not Supported], 39 %, 25 %
2018/11/16 15:55:12.292, [Not Supported], 45 %, 28 %
2018/11/16 15:55:13.293, [Not Supported], 43 %, 26 %
2018/11/16 15:55:14.293, [Not Supported], 44 %, 28 %
2018/11/16 15:55:15.294, [Not Supported], 45 %, 27 %
2018/11/16 15:55:16.295, [Not Supported], 44 %, 27 %
2018/11/16 15:55:17.296, [Not Supported], 46 %, 28 %
2018/11/16 15:55:18.296, [Not Supported], 47 %, 29 %
2018/11/16 15:55:19.297, [Not Supported], 41 %, 25 %
2018/11/16 15:55:20.298, [Not Supported], 43 %, 26 %
2018/11/16 15:55:21.298, [Not Supported], 42 %, 26 %
2018/11/16 15:55:22.299, [Not Supported], 40 %, 25 %
2018/11/16 15:55:23.300, [Not Supported], 46 %, 29 %
2018/11/16 15:55:24.302, [Not Supported], 43 %, 27 %
2018/11/16 15:55:25.302, [Not Supported], 41 %, 26 %
