timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:52:22.429, [Not Supported], 41 %, 26 %
2018/11/16 15:52:23.430, [Not Supported], 44 %, 28 %
2018/11/16 15:52:24.430, [Not Supported], 43 %, 27 %
2018/11/16 15:52:25.432, [Not Supported], 38 %, 24 %
2018/11/16 15:52:26.433, [Not Supported], 45 %, 25 %
2018/11/16 15:52:27.434, [Not Supported], 38 %, 24 %
2018/11/16 15:52:28.435, [Not Supported], 44 %, 29 %
2018/11/16 15:52:29.436, [Not Supported], 41 %, 26 %
2018/11/16 15:52:30.437, [Not Supported], 38 %, 24 %
2018/11/16 15:52:31.438, [Not Supported], 41 %, 26 %
2018/11/16 15:52:32.439, [Not Supported], 41 %, 26 %
2018/11/16 15:52:33.440, [Not Supported], 40 %, 25 %
2018/11/16 15:52:34.441, [Not Supported], 43 %, 27 %
2018/11/16 15:52:35.441, [Not Supported], 42 %, 27 %
2018/11/16 15:52:36.442, [Not Supported], 47 %, 30 %
2018/11/16 15:52:37.443, [Not Supported], 44 %, 28 %
2018/11/16 15:52:38.444, [Not Supported], 46 %, 28 %
2018/11/16 15:52:39.446, [Not Supported], 41 %, 25 %
2018/11/16 15:52:40.446, [Not Supported], 43 %, 28 %
2018/11/16 15:52:41.447, [Not Supported], 46 %, 29 %
2018/11/16 15:52:42.449, [Not Supported], 38 %, 24 %
2018/11/16 15:52:43.450, [Not Supported], 44 %, 28 %
2018/11/16 15:52:44.450, [Not Supported], 41 %, 26 %
2018/11/16 15:52:45.452, [Not Supported], 41 %, 26 %
2018/11/16 15:52:46.452, [Not Supported], 41 %, 25 %
2018/11/16 15:52:47.453, [Not Supported], 39 %, 24 %
2018/11/16 15:52:48.454, [Not Supported], 42 %, 26 %
2018/11/16 15:52:49.454, [Not Supported], 41 %, 26 %
2018/11/16 15:52:50.455, [Not Supported], 41 %, 26 %
2018/11/16 15:52:51.456, [Not Supported], 40 %, 25 %
2018/11/16 15:52:52.457, [Not Supported], 45 %, 28 %
2018/11/16 15:52:53.458, [Not Supported], 42 %, 26 %
2018/11/16 15:52:54.459, [Not Supported], 45 %, 28 %
2018/11/16 15:52:55.461, [Not Supported], 42 %, 27 %
2018/11/16 15:52:56.461, [Not Supported], 42 %, 27 %
2018/11/16 15:52:57.462, [Not Supported], 43 %, 27 %
2018/11/16 15:52:58.463, [Not Supported], 55 %, 31 %
2018/11/16 15:52:59.463, [Not Supported], 40 %, 25 %
2018/11/16 15:53:00.464, [Not Supported], 41 %, 26 %
2018/11/16 15:53:01.465, [Not Supported], 48 %, 29 %
2018/11/16 15:53:02.466, [Not Supported], 39 %, 25 %
2018/11/16 15:53:03.466, [Not Supported], 43 %, 27 %
2018/11/16 15:53:04.467, [Not Supported], 48 %, 28 %
2018/11/16 15:53:05.468, [Not Supported], 43 %, 27 %
2018/11/16 15:53:06.470, [Not Supported], 36 %, 23 %
2018/11/16 15:53:07.471, [Not Supported], 51 %, 31 %
2018/11/16 15:53:08.472, [Not Supported], 40 %, 25 %
2018/11/16 15:53:09.473, [Not Supported], 43 %, 25 %
2018/11/16 15:53:10.473, [Not Supported], 46 %, 26 %
2018/11/16 15:53:11.474, [Not Supported], 42 %, 26 %
2018/11/16 15:53:12.475, [Not Supported], 45 %, 28 %
2018/11/16 15:53:13.476, [Not Supported], 36 %, 22 %
2018/11/16 15:53:14.477, [Not Supported], 41 %, 26 %
2018/11/16 15:53:15.478, [Not Supported], 47 %, 29 %
2018/11/16 15:53:16.479, [Not Supported], 56 %, 31 %
2018/11/16 15:53:17.480, [Not Supported], 47 %, 29 %
2018/11/16 15:53:18.480, [Not Supported], 42 %, 26 %
2018/11/16 15:53:19.482, [Not Supported], 35 %, 21 %
2018/11/16 15:53:20.482, [Not Supported], 41 %, 26 %
2018/11/16 15:53:21.483, [Not Supported], 45 %, 28 %
2018/11/16 15:53:22.484, [Not Supported], 44 %, 27 %
2018/11/16 15:53:23.485, [Not Supported], 43 %, 27 %
2018/11/16 15:53:24.486, [Not Supported], 43 %, 27 %
2018/11/16 15:53:25.486, [Not Supported], 45 %, 29 %
2018/11/16 15:53:26.488, [Not Supported], 46 %, 28 %
2018/11/16 15:53:27.488, [Not Supported], 36 %, 21 %
2018/11/16 15:53:28.489, [Not Supported], 48 %, 29 %
2018/11/16 15:53:29.490, [Not Supported], 42 %, 26 %
2018/11/16 15:53:30.491, [Not Supported], 43 %, 27 %
2018/11/16 15:53:31.492, [Not Supported], 44 %, 28 %
2018/11/16 15:53:32.493, [Not Supported], 39 %, 24 %
2018/11/16 15:53:33.494, [Not Supported], 40 %, 26 %
2018/11/16 15:53:34.495, [Not Supported], 43 %, 27 %
2018/11/16 15:53:35.495, [Not Supported], 43 %, 28 %
2018/11/16 15:53:36.497, [Not Supported], 40 %, 25 %
2018/11/16 15:53:37.498, [Not Supported], 46 %, 29 %
2018/11/16 15:53:38.498, [Not Supported], 46 %, 28 %
2018/11/16 15:53:39.499, [Not Supported], 52 %, 34 %
2018/11/16 15:53:40.500, [Not Supported], 46 %, 29 %
2018/11/16 15:53:41.501, [Not Supported], 43 %, 27 %
2018/11/16 15:53:42.502, [Not Supported], 45 %, 29 %
2018/11/16 15:53:43.503, [Not Supported], 45 %, 28 %
2018/11/16 15:53:44.504, [Not Supported], 47 %, 29 %
2018/11/16 15:53:45.505, [Not Supported], 43 %, 23 %
2018/11/16 15:53:46.506, [Not Supported], 38 %, 23 %
2018/11/16 15:53:47.506, [Not Supported], 47 %, 29 %
2018/11/16 15:53:48.507, [Not Supported], 52 %, 29 %
2018/11/16 15:53:49.507, [Not Supported], 42 %, 26 %
2018/11/16 15:53:50.508, [Not Supported], 43 %, 26 %
2018/11/16 15:53:51.510, [Not Supported], 53 %, 32 %
2018/11/16 15:53:52.510, [Not Supported], 44 %, 28 %
2018/11/16 15:53:53.511, [Not Supported], 43 %, 27 %
2018/11/16 15:53:54.513, [Not Supported], 50 %, 27 %
2018/11/16 15:53:55.513, [Not Supported], 42 %, 26 %
2018/11/16 15:53:56.514, [Not Supported], 42 %, 26 %
2018/11/16 15:53:57.514, [Not Supported], 56 %, 33 %
2018/11/16 15:53:58.515, [Not Supported], 36 %, 23 %
2018/11/16 15:53:59.516, [Not Supported], 39 %, 26 %
2018/11/16 15:54:00.517, [Not Supported], 43 %, 28 %
2018/11/16 15:54:01.518, [Not Supported], 35 %, 21 %
2018/11/16 15:54:02.518, [Not Supported], 46 %, 29 %
2018/11/16 15:54:03.519, [Not Supported], 41 %, 26 %
2018/11/16 15:54:04.520, [Not Supported], 45 %, 28 %
2018/11/16 15:54:05.521, [Not Supported], 47 %, 29 %
2018/11/16 15:54:06.522, [Not Supported], 39 %, 23 %
2018/11/16 15:54:07.523, [Not Supported], 39 %, 24 %
2018/11/16 15:54:08.524, [Not Supported], 48 %, 30 %
2018/11/16 15:54:09.525, [Not Supported], 44 %, 27 %
2018/11/16 15:54:10.525, [Not Supported], 45 %, 29 %
2018/11/16 15:54:11.526, [Not Supported], 44 %, 28 %
2018/11/16 15:54:12.528, [Not Supported], 40 %, 26 %
2018/11/16 15:54:13.529, [Not Supported], 45 %, 28 %
2018/11/16 15:54:14.529, [Not Supported], 37 %, 24 %
2018/11/16 15:54:15.530, [Not Supported], 45 %, 28 %
2018/11/16 15:54:16.531, [Not Supported], 41 %, 26 %
2018/11/16 15:54:17.532, [Not Supported], 38 %, 24 %
2018/11/16 15:54:18.533, [Not Supported], 40 %, 25 %
2018/11/16 15:54:19.534, [Not Supported], 42 %, 26 %
2018/11/16 15:54:20.535, [Not Supported], 47 %, 31 %
2018/11/16 15:54:21.536, [Not Supported], 42 %, 26 %
2018/11/16 15:54:22.538, [Not Supported], 42 %, 26 %
2018/11/16 15:54:23.539, [Not Supported], 41 %, 26 %
2018/11/16 15:54:24.539, [Not Supported], 47 %, 29 %
2018/11/16 15:54:25.540, [Not Supported], 39 %, 24 %
2018/11/16 15:54:26.541, [Not Supported], 39 %, 24 %
2018/11/16 15:54:27.542, [Not Supported], 38 %, 24 %
2018/11/16 15:54:28.542, [Not Supported], 42 %, 26 %
2018/11/16 15:54:29.543, [Not Supported], 51 %, 29 %
2018/11/16 15:54:30.544, [Not Supported], 45 %, 28 %
2018/11/16 15:54:31.545, [Not Supported], 44 %, 27 %
2018/11/16 15:54:32.546, [Not Supported], 42 %, 27 %
2018/11/16 15:54:33.547, [Not Supported], 42 %, 26 %
2018/11/16 15:54:34.547, [Not Supported], 47 %, 30 %
2018/11/16 15:54:35.548, [Not Supported], 50 %, 28 %
2018/11/16 15:54:36.549, [Not Supported], 45 %, 29 %
2018/11/16 15:54:37.550, [Not Supported], 45 %, 28 %
2018/11/16 15:54:38.551, [Not Supported], 54 %, 31 %
2018/11/16 15:54:39.552, [Not Supported], 42 %, 26 %
2018/11/16 15:54:40.553, [Not Supported], 42 %, 26 %
2018/11/16 15:54:41.553, [Not Supported], 41 %, 25 %
2018/11/16 15:54:42.555, [Not Supported], 42 %, 26 %
2018/11/16 15:54:43.556, [Not Supported], 47 %, 29 %
2018/11/16 15:54:44.557, [Not Supported], 45 %, 24 %
2018/11/16 15:54:45.557, [Not Supported], 42 %, 26 %
2018/11/16 15:54:46.558, [Not Supported], 42 %, 26 %
2018/11/16 15:54:47.559, [Not Supported], 42 %, 26 %
2018/11/16 15:54:48.560, [Not Supported], 46 %, 29 %
2018/11/16 15:54:49.561, [Not Supported], 43 %, 26 %
